"","Cluster","box","xmin","xmax","ymin","ymax","cluster_xmin","cluster_xmax","cluster_ymin","cluster_ymax","lidar_path","rgb_path","label","numeric_label"
"26",3,3,404942.53,404946.95,3284540.13,3284541.46,404941.5,404966.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"27",3,4,404951.3,404956.33,3284535.81,3284541.98,404941.5,404966.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"28",3,5,404960.81,404965.24,3284537.45,3284539.82,404941.5,404966.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"29",3,6,404949.83,404954.34,3284532.42,3284535.87,404941.5,404966.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"30",3,7,404965.3,404965.44,3284531.17,3284531.79,404941.5,404966.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"31",3,8,404957.54,404960.46,3284528.62,3284531.41,404941.5,404966.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"32",4,1,404882.71,404886.48,3284539.64,3284541.93,404875.5,404896.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"33",4,2,404893.69,404895.5,3284539.01,3284542,404875.5,404896.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"34",4,3,404878.15,404882.94,3284538.27,3284541.98,404875.5,404896.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"35",4,4,404884.54,404888.48,3284536.02,3284540.5,404875.5,404896.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"36",4,5,404876.55,404881.91,3284535.03,3284539.29,404875.5,404896.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"37",4,6,404886.55,404890.28,3284533.1,3284536.92,404875.5,404896.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"38",4,7,404888.06,404893.49,3284529.57,3284533.45,404875.5,404896.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"39",4,8,404877.56,404881.25,3284529.57,3284533,404875.5,404896.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"40",4,9,404882.02,404885.93,3284529.52,3284531.89,404875.5,404896.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"41",5,1,404814.52,404816.47,3284538.43,3284541.83,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"42",5,2,404831.29,404833.47,3284539.02,3284541.89,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"43",5,3,404840.7,404842,3284540.11,3284541.82,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"44",5,4,404821,404826.43,3284537.61,3284541.91,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"45",5,5,404839.59,404841.99,3284536.31,3284540.41,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"46",5,6,404828.61,404831.96,3284536.13,3284539.49,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"47",5,7,404825.51,404828.75,3284535.75,3284540.45,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"48",5,8,404815.08,404821.88,3284532.51,3284538.45,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"49",5,9,404837,404840.42,3284533.65,3284536.76,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"50",5,10,404840.64,404841.98,3284530.01,3284533.85,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"51",5,11,404809.57,404814.95,3284528.51,3284533.73,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"52",5,12,404833.56,404836.87,3284527.65,3284531.96,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"53",5,13,404837.14,404840.46,3284527.38,3284531.49,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"54",5,14,404814.01,404820.08,3284527.12,3284533.5,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"55",5,15,404818.9,404823.65,3284524.56,3284532.47,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"56",5,16,404811.67,404818.31,3284522.24,3284528.35,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"57",5,17,404834.03,404838.99,3284521.2,3284527.99,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"58",5,18,404821.64,404826.8,3284521.08,3284525.29,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"59",5,19,404839.53,404841.98,3284519.54,3284522.37,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"60",5,20,404822.58,404827.48,3284518.08,3284521.43,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"61",5,21,404827.55,404833.91,3284516.7,3284522.93,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"62",5,22,404810.63,404815.47,3284516.53,3284522.7,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"63",5,23,404815.5,404821.82,3284515.01,3284522.86,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"64",5,24,404807.5,404809.79,3284514.53,3284521.59,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"65",5,25,404821.86,404828.99,3284513.02,3284518.81,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"66",5,26,404839.62,404841.98,3284516.11,3284518.9,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"67",5,27,404835.42,404837.34,3284510.1,3284511.93,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"68",5,28,404810.01,404817.98,3284506.52,3284514.49,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"69",5,29,404832.51,404834.29,3284508.65,3284511.48,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"70",5,30,404839.53,404841.99,3284508.15,3284511,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"71",5,31,404832.65,404834.62,3284506.54,3284508.29,404806.69,404842.5,3284505.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"72",6,1,404840.7,404843.37,3284540.08,3284541.85,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"73",6,2,404848,404850.97,3284538.53,3284541.85,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"74",6,3,404856.03,404857.91,3284538.41,3284541.88,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"75",6,4,404839.59,404844,3284536.02,3284540.41,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"76",6,5,404845.52,404850.43,3284533.07,3284538.31,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"77",6,6,404838.86,404841.48,3284535.63,3284536.88,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"78",6,7,404850.37,404854.95,3284530.19,3284534.93,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"79",6,8,404855.15,404857.93,3284530.57,3284535,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"80",6,9,404841.51,404847.48,3284530.02,3284534.98,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"81",6,10,404838.54,404841.75,3284528.73,3284531.91,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"82",6,11,404852.13,404855.97,3284526.56,3284530.98,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"83",6,12,404856.02,404857.98,3284527.96,3284530.92,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"84",6,13,404847.07,404851.44,3284527.05,3284530.31,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"85",6,14,404838.54,404839.44,3284526.5,3284528.29,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"86",6,15,404842.67,404844.95,3284526.52,3284529.2,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"87",6,16,404850.2,404852.94,3284526.5,3284528.11,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"88",6,17,404855.82,404857.95,3284526.52,3284527.33,404837.5,404858.5,3284525.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"89",7,1,404861.5,404864.67,3284539.1,3284541.73,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"90",7,2,404877.58,404878.48,3284539.08,3284541.79,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"91",7,3,404857.51,404860.76,3284537.69,3284541.9,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"92",7,4,404869.73,404874.81,3284536.77,3284541.92,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"93",7,5,404859.26,404864.46,3284537.04,3284541.84,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"94",7,6,404873.32,404876.98,3284535.03,3284540.44,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"95",7,7,404876.55,404878.48,3284536.01,3284538.98,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"96",7,8,404858.58,404864.04,3284532.54,3284537.34,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"97",7,9,404865.08,404869.96,3284532.07,3284536.49,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"98",7,10,404857.5,404860.48,3284531.03,3284535.28,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"99",7,11,404874.17,404877.96,3284531.79,3284534.98,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"100",7,12,404866.03,404871.45,3284526.05,3284533.31,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"101",7,13,404877.18,404878.49,3284528.05,3284532.94,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"102",7,14,404857.5,404860.42,3284527.05,3284530.99,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"103",7,15,404857.52,404858.86,3284524.05,3284527.33,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"104",7,16,404875.11,404875.45,3284522.87,3284523.31,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"105",7,17,404862.51,404865.47,3284521.64,3284523.44,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"106",7,18,404859.74,404862.21,3284520.96,3284522.95,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"107",7,19,404865.62,404868.3,3284520.65,3284525.27,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"108",7,20,404868.65,404871.44,3284520.54,3284525.33,404856.5,404879.5,3284519.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"109",8,1,404917.56,404920.36,3284540.65,3284542,404916.5,404936.5,3284523.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"110",8,2,404922.35,404925.91,3284538.12,3284542,404916.5,404936.5,3284523.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"111",8,3,404935.65,404935.98,3284540,3284541.02,404916.5,404936.5,3284523.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"112",8,4,404926,404929.93,3284537.06,3284540.4,404916.5,404936.5,3284523.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"113",8,5,404919.53,404924.43,3284532.41,3284537.46,404916.5,404936.5,3284523.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"114",8,6,404923.58,404928.98,3284530.55,3284537.87,404916.5,404936.5,3284523.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"115",8,7,404917.5,404919.98,3284527.31,3284531.97,404916.5,404936.5,3284523.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"116",8,8,404928.02,404929.87,3284529.54,3284532.46,404916.5,404936.5,3284523.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"117",8,9,404924,404927.56,3284529.53,3284530.75,404916.5,404936.5,3284523.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"118",8,10,404917.6,404918.9,3284524.5,3284526.99,404916.5,404936.5,3284523.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"119",8,11,404928.07,404930.19,3284524.51,3284524.94,404916.5,404936.5,3284523.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"120",8,12,404932.74,404934.94,3284524.57,3284525.23,404916.5,404936.5,3284523.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"121",9,1,404848,404850.97,3284538.53,3284541.43,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"122",9,2,404856.03,404860.28,3284537.69,3284541.48,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"123",9,3,404859.26,404864.46,3284537.04,3284541.31,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"124",9,4,404846.51,404850.43,3284532.58,3284538.31,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"125",9,5,404858.58,404863.46,3284532.05,3284537.34,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"126",9,6,404863.11,404865.49,3284532.08,3284536.45,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"127",9,7,404850.37,404854.95,3284530.19,3284534.93,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"128",9,8,404855.15,404859.81,3284530.57,3284535,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"129",9,9,404852.13,404856.43,3284526.56,3284530.98,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"130",9,10,404856.53,404860.48,3284526.63,3284531.96,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"131",9,11,404847.07,404851.44,3284527.02,3284530.31,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"132",9,12,404864.58,404865.37,3284527.04,3284528.97,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"133",9,13,404850.07,404853.18,3284524.05,3284528,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"134",9,14,404855.07,404858.86,3284523.86,3284527.11,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"135",9,15,404849.71,404849.71,3284524.04,3284524.04,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"136",9,16,404861.03,404862.58,3284522.59,3284523.28,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"137",9,17,404863.24,404865.47,3284522.52,3284523.44,404845.5,404866.5,3284521.5,3284542.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"138",10,1,404878.19,404882.94,3284538.63,3284541,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"139",10,2,404869.73,404874.81,3284536.77,3284540.97,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"140",10,3,404884.54,404888.48,3284536.02,3284540.5,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"141",10,4,404873.32,404877.42,3284535.03,3284540.44,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"142",10,5,404877.05,404882.46,3284535.03,3284539.29,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"143",10,6,404886.55,404888.93,3284533.1,3284536.92,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"144",10,7,404869.55,404871.19,3284531.51,3284534.41,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"145",10,8,404874.17,404877.39,3284531.79,3284534.98,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"146",10,9,404888.06,404889,3284529.32,3284532.66,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"147",10,10,404869.56,404871.8,3284528.75,3284531.48,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"148",10,11,404877.5,404881.25,3284528.01,3284533,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"149",10,12,404882.02,404885.93,3284528.07,3284531.89,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"150",10,13,404869.53,404870.89,3284525.15,3284528.48,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"151",10,14,404887.17,404888.9,3284525.14,3284528.74,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"152",10,15,404874.56,404875.78,3284522.87,3284523.74,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"153",10,16,404881.54,404885.43,3284520.67,3284524.5,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"154",10,17,404887.55,404888.97,3284520.63,3284523.47,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"155",10,18,404870.19,404871.94,3284520.54,3284521.8,404868.5,404889.5,3284519.5,3284541.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"156",11,1,404899.54,404902.46,3284534.13,3284535.37,404885.5,404907.5,3284514.5,3284536.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"157",11,2,404886.55,404890.28,3284533.1,3284535.46,404885.5,404907.5,3284514.5,3284536.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"158",11,3,404897.31,404899.76,3284530.51,3284534.82,404885.5,404907.5,3284514.5,3284536.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"159",11,4,404904.75,404906.99,3284530.29,3284533.98,404885.5,404907.5,3284514.5,3284536.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"160",11,5,404888.06,404893.49,3284529.13,3284533.45,404885.5,404907.5,3284514.5,3284536.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"161",11,6,404902.77,404906.99,3284526.13,3284530.79,404885.5,404907.5,3284514.5,3284536.5,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
