"country","state","county","domain","domainID","siteName","siteID","plotType","subtype","subSpec","plotID","plotSize","plotDim","pointID","latitude","longitude","datum","utmZone","easting","northing","horzUncert","elevation","vertUncert","minElev","maxElev","slope","aspect","nlcdClass","soilOrder","crdSource","date","filtPos","plotPdop","plotHdop","appMods","plotEdge"
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_046",1600,"40m x 40m","41",44.059946,-71.28541,"WGS84","19N",316952.242,4881070.369,0.19,304.74,0.28,298.26,305.78,1.72,80,"deciduousForest",,"GeoXH 6000",20141020,"1054",4.4,2.1,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_072",1600,"40m x 40m","41",44.060736,-71.286195,"WGS84","19N",316891.789,4881159.849,0.19,296.57,0.28,294.41,299.44,2.29,304,"deciduousForest",,"GeoXH 6000",20141020,"1001",5.9,2.3,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_019",1600,"40m x 40m","41",44.069363,-71.286142,"WGS84","19N",316922.649,4882117.998,0.2,243.18,0.26,237.8,245.28,3.43,180,"mixedForest",,"GeoXH 6000",20140922,"603",5.7,3.7,"div|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_079",1600,"40m x 40m","41",44.0449,-71.320821,"WGS84","19N",314068.857,4879478.54,0.2,596.51,0.25,588.79,596.51,2.86,98,"deciduousForest",,"GeoXH 6000",20141014,"1003",4.6,3.3,"bet|div",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","tickPlot","","BART_029",1600,"40m x 40m","41",44.058948,-71.289336,"WGS84","19N",316634.698,4880968.217,0.21,291.71,0.33,288.35,293.7,10.46,246.02,"evergreenForest",,"GeoXH 6000",20141002,"1001",5.4,3.3,"tck",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mammalGrid",,"BART_007",8100,"90m x 90m","E5",44.051112,-71.298377,"WGS84","19N",315886.187,4880118.03,0.21,382.72,0.36,382.72,431.47,7.1,17.48,"mixedForest",,"GeoXH 6000",20140511,"682",5.6,2.7,"mam",90
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_001",1600,"40m x 40m","41",44.047077,-71.306658,"WGS84","19N",315210.293,4879688.441,0.21,468.81,0.32,468.6,484.55,3.43,202,"mixedForest",,"GeoXH 6000",20140813,"303",6.8,3.9,"bgc|cdw|cfc|dhp|div|hbp|sme|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","birdGrid","ninePoints","BART_004",250000,"500m x 500m","B2",44.04122,-71.287007,"WGS84","19N",316766.575,4878994.04,0.22,526.26,0.5,426.56,545.96,11.04,309.64,"mixedForest",,"GeoXH 6000",20141008,"800",8.7,3,"brd",500
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","phenology","primary","BART_053",40000,"200m x 200m","C",44.066951,-71.288437,"WGS84","19N",316731.391,4881855.128,,239.14,,239.14,264.62,4.87,29,"",,"GIS",,,,,"phe",200
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mosquitoPoint","","BART_059",0,"0m","41",44.056907,-71.274437,"WGS84","19N",317821.738,4880708.469,10.22,313.96,0.3,313.96,313.96,3.8,55.6,"mixedForest",,"GeoXH 6000",20140511,"621",20.6,7.1,"mos|mpt",0
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_005",1600,"40m x 40m","41",44.05462,-71.282199,"WGS84","19N",317192.997,4880471.692,0.22,304.93,0.25,303.05,307.1,1.15,125,"mixedForest",,"GeoXH 6000",20140923,"602",6.4,4.7,"bgc|cdw|cfc|dhp|div|hbp|sme|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_024",1600,"40m x 40m","41",44.052777,-71.263782,"WGS84","19N",318662.654,4880226.248,0.22,434.42,0.34,423.85,444.42,10.76,160,"evergreenForest",,"GeoXH 6000",20140930,"1137",7.8,4.8,"cdw|cfc|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_029",1600,"40m x 40m","41",44.057747,-71.288308,"WGS84","19N",316713.259,4880832.563,0.22,297.37,0.33,293.22,303.28,6.84,270,"evergreenForest",,"GeoXH 6000",20141001,"1098",8.4,3,"div",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_002",1600,"40m x 40m","41",44.035081,-71.27285,"WGS84","19N",317881.97,4878280.691,0.23,550.82,0.37,539.73,561.11,11.31,42,"deciduousForest",,"GeoXH 6000",20140901,"301",6.9,4.5,"bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_023",1600,"40m x 40m","41",44.049319,-71.263643,"WGS84","19N",318663.202,4879841.849,0.23,503.01,0.47,491.95,512.35,14.57,90,"evergreenForest",,"GeoXH 6000",20131015,"151",6.1,2.4,"bgc|cdw|cfc|dhp|div|hbp|sme|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_025",1600,"40m x 40m","41",44.059386,-71.313142,"WGS84","19N",314729.242,4881070.195,0.23,542.76,0.27,527.63,558.36,19.14,258.7,"evergreenForest",,"GeoXH 6000",20140908,"303",6.8,4.7,"bet|cdw|cfc|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_026",1600,"40m x 40m","41",44.061262,-71.313922,"WGS84","19N",314672.659,4881280.354,0.23,512.85,0.42,501.84,520.52,10.98,207.1,"evergreenForest",,"GeoXH 6000",20140929,"877",7,3.6,"cdw|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_075",1600,"40m x 40m","41",44.059135,-71.286503,"WGS84","19N",316862.145,4880982.666,0.23,297.12,0.32,294.03,300.04,2.86,328,"mixedForest",,"GeoXH 6000",20141021,"1007",11.1,4.8,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","tickPlot","","BART_010",1600,"40m x 40m","41",44.0511,-71.267766,"WGS84","19N",318338.39,4880048.793,0.24,413.01,0.42,410.95,421.17,14.09,287.77,"deciduousForest",,"GeoXH 6000",20140824,"304",5.7,2.6,"tck",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mosquitoPoint","","BART_086",0,"0m","41",44.072821,-71.290016,"WGS84","19N",316623.096,4882510.672,10.24,232.08,0.3,232.08,232.08,2.57,21.33,"evergreenForest",,"GeoXH 6000",20141023,"1002",5.1,2.3,"mos|mpt",0
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_018",1600,"40m x 40m","41",44.058474,-71.277857,"WGS84","19N",317552.627,4880890.136,0.24,315.47,0.36,312.4,320.24,2.86,222,"mixedForest",,"GeoXH 6000",20140907,"302",7,4.3,"bet|cdw|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_081",1600,"40m x 40m","41",44.06068,-71.262946,"WGS84","19N",318753.711,4881102.208,0.24,411.28,0.33,407.82,421.06,11.09,106,"mixedForest",,"GeoXH 6000",20140930,"901",5.8,2.7,"bet|div",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","birdGrid","ninePoints","BART_025",250000,"500m x 500m","B2",44.060146,-71.315479,"WGS84","19N",314544.455,4881159.906,0.25,575.84,0.32,481.59,633.25,22.57,32.68,"evergreenForest",,"GeoXH 6000",20140918,"1012",5.6,2.2,"brd",500
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_062",1600,"40m x 40m","41",44.057361,-71.305891,"WGS84","19N",315303.699,4880828.963,0.25,391.83,0.27,383.81,399.25,12.24,245.8,"deciduousForest",,"GeoXH 6000",20131017,"303",2.9,1.8,"div",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_030",1600,"40m x 40m","41",44.053794,-71.308072,"WGS84","19N",315117.901,4880437.649,0.25,501.3,0.29,490.32,512.7,13.22,165.3,"evergreenForest",,"GeoXH 6000",20141006,"1064",5.9,4,"div",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_041",1600,"40m x 40m","41",44.06534,-71.285606,"WGS84","19N",316953.142,4881669.902,0.25,260.73,0.39,255.87,262.79,6.56,228,"deciduousForest",,"GeoXH 6000",20140928,"601",9.3,2.4,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mosquitoPoint","","BART_058",0,"0m","41",44.056185,-71.285558,"WGS84","19N",316928.73,4880652.986,10.26,299.89,0.3,299.89,299.89,1.51,243.24,"evergreenForest",,"GeoXH 6000",20140512,"601",6.4,4.7,"mos|mpt",0
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","birdGrid","ninePoints","BART_009",250000,"500m x 500m","B2",44.054091,-71.299906,"WGS84","19N",315772.997,4880452.321,0.27,359.66,0.34,359.66,484.79,18.77,62.89,"deciduousForest",,"GeoXH 6000",20141001,"1040",5,2.6,"brd",500
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_068",1600,"40m x 40m","41",44.052429,-71.309472,"WGS84","19N",315001.509,4880289.23,0.27,553.41,0.33,542.64,561.4,10.98,199,"mixedForest",,"GeoXH 6000",20141005,"1039",6.1,4.2,"bet|div",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mosquitoPoint","","BART_061",0,"0m","41",44.057606,-71.303332,"WGS84","19N",315509.492,4880850.476,10.28,344.36,0.51,344.36,344.36,7.47,44.97,"mixedForest",,"GeoXH 6000",20140512,"633",5.6,2.6,"mos|mpt",0
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_027",1600,"40m x 40m","41",44.057947,-71.261745,"WGS84","19N",318841.588,4880796.019,0.28,427.15,0.34,414.69,431.17,13.5,194,"evergreenForest",,"GeoXH 6000",20140930,"912",7.3,4.4,"cdw|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","tower","basePlot","","BART_051",1600,"40m x 40m","41",44.062849,-71.287737,"WGS84","19N",316774.753,4881398.034,0.28,280.02,0.44,279.36,289.04,2.29,104,"deciduousForest",,"GeoXH 6000",20141021,"1003",6.8,3.5,"bbc|cdw|dhp|hbp|ltr|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","mammalGrid",,"BART_012",8100,"90m x 90m","E5",44.047478,-71.315451,"WGS84","19N",314507.079,4879752.702,0.29,579.88,0.41,579.88,625.31,14.25,145.42,"deciduousForest",,"GeoXH 6000",20131015,"342",6.2,2.1,"mam",90
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_012",1600,"40m x 40m","41",44.046089,-71.316317,"WGS84","19N",314433.405,4879600.469,0.3,558.92,0.41,555.4,562.47,2.86,278,"deciduousForest",,"GeoXH 6000",20140810,"302",3.9,2.7,"cdw|dhp|div|hbp|vst",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","basePlot","","BART_031",1600,"40m x 40m","41",44.055533,-71.305095,"WGS84","19N",315361.832,4880624.189,0.3,414.01,0.39,405.28,423.32,11.03,186.1,"evergreenForest",,"GeoXH 6000",20141013,"1008",21.5,9,"bet|div",40
"unitedStates","NH","Carroll","Northeast","D01","Bartlett Experimental Forest","BART","distributed","tickPlot","","BART_015",1600,"40m x 40m","41",44.042149,-71.271603,"WGS84","19N",318003.532,4879062.971,0.31,454.99,0.46,444.57,467.76,12.43,252,"mixedForest",,"GeoXH 6000",20140929,"601",6.7,3.5,"tck",40
